trajectory_id,method,seed,rep,stress,G0,selected_stage,adverse_return
30000000,Static Zoning,101,0,historical,7809471.740098555,0,-7809471.740098555
30000001,Static Zoning,101,1,historical,7132254.783632977,0,-7132254.783632977
30000002,Static Zoning,101,2,historical,8127599.092234666,0,-8127599.092234666
30000003,Static Zoning,101,3,historical,9135231.084022366,0,-9135231.084022366
30000004,Static Zoning,101,4,historical,3460700.9335020315,0,-3460700.9335020315
30000005,Static Zoning,101,5,historical,4471624.421625503,0,-4471624.421625503
30000006,Static Zoning,101,6,historical,3066156.0874148766,0,-3066156.0874148766
30000007,Static Zoning,101,7,historical,4667642.252672155,0,-4667642.252672155
30000008,Static Zoning,101,8,historical,5080625.883279246,0,-5080625.883279246
30000009,Static Zoning,101,9,historical,6469994.563618544,0,-6469994.563618544
30000010,Static Zoning,101,10,historical,10080304.732483314,0,-10080304.732483314
30000011,Static Zoning,101,11,historical,8666009.858288053,0,-8666009.858288053
30000012,Static Zoning,101,12,historical,6070305.989951667,0,-6070305.989951667
30000013,Static Zoning,101,13,historical,7013295.990455435,0,-7013295.990455435
30000014,Static Zoning,101,14,historical,10453727.989544207,0,-10453727.989544207
30000015,Static Zoning,101,15,historical,-1107186.5468166643,0,1107186.5468166643
30000016,Static Zoning,101,16,historical,2560483.763147656,0,-2560483.763147656
30000017,Static Zoning,101,17,historical,4542060.465650061,0,-4542060.465650061
30000018,Static Zoning,101,18,historical,6914322.960066241,0,-6914322.960066241
30000019,Static Zoning,101,19,historical,10971356.309957806,0,-10971356.309957806
30000020,Static Zoning,101,20,historical,5438088.824185919,0,-5438088.824185919
30000021,Static Zoning,101,21,historical,2308440.792711733,0,-2308440.792711733
30000022,Static Zoning,101,22,historical,6984248.234582045,0,-6984248.234582045
30000023,Static Zoning,101,23,historical,12474768.38904558,0,-12474768.38904558
30000024,Static Zoning,101,24,historical,8704868.505723467,0,-8704868.505723467
30000025,Static Zoning,101,25,historical,14789613.88672929,0,-14789613.88672929
30000026,Static Zoning,101,26,historical,8151976.63737252,0,-8151976.63737252
30000027,Static Zoning,101,27,historical,7131480.553515481,0,-7131480.553515481
30000028,Static Zoning,101,28,historical,4374403.83331231,0,-4374403.83331231
30000029,Static Zoning,101,29,historical,2455942.065170576,0,-2455942.065170576
30000030,Static Zoning,101,30,historical,11526204.760938993,0,-11526204.760938993
30000031,Static Zoning,101,31,historical,7507041.984406666,0,-7507041.984406666
30000032,Static Zoning,101,32,historical,4927509.880041635,0,-4927509.880041635
30000033,Static Zoning,101,33,historical,13954265.322812125,0,-13954265.322812125
30000034,Static Zoning,101,34,historical,10681106.91304784,0,-10681106.91304784
30000035,Static Zoning,101,35,historical,5963209.5667625405,0,-5963209.5667625405
30000036,Static Zoning,101,36,historical,7306568.3080231855,0,-7306568.3080231855
30000037,Static Zoning,101,37,historical,7100234.005537547,0,-7100234.005537547
30000038,Static Zoning,101,38,historical,5687866.935458317,0,-5687866.935458317
30000039,Static Zoning,101,39,historical,13921656.81591231,0,-13921656.81591231
30000040,Static Zoning,101,40,historical,2488446.3456386765,0,-2488446.3456386765
30000041,Static Zoning,101,41,historical,3533670.000171344,0,-3533670.000171344
30000042,Static Zoning,101,42,historical,5940741.217987167,0,-5940741.217987167
30000043,Static Zoning,101,43,historical,9265179.351489432,0,-9265179.351489432
30000044,Static Zoning,101,44,historical,8228685.606394253,0,-8228685.606394253
30000045,Static Zoning,101,45,historical,7109810.970881373,0,-7109810.970881373
30000046,Static Zoning,101,46,historical,9332610.304330783,0,-9332610.304330783
30000047,Static Zoning,101,47,historical,11147477.146795047,0,-11147477.146795047
30000048,Static Zoning,101,48,historical,8010552.347450028,0,-8010552.347450028
30000049,Static Zoning,101,49,historical,7936483.713946581,0,-7936483.713946581
30000050,Static Zoning,101,50,historical,6573707.538697483,0,-6573707.538697483
30000051,Static Zoning,101,51,historical,6822668.82024427,0,-6822668.82024427
30000052,Static Zoning,101,52,historical,3554679.8977826373,0,-3554679.8977826373
30000053,Static Zoning,101,53,historical,6188842.354404373,0,-6188842.354404373
30000054,Static Zoning,101,54,historical,7418776.927407764,0,-7418776.927407764
30000055,Static Zoning,101,55,historical,8194988.735325042,0,-8194988.735325042
30000056,Static Zoning,101,56,historical,2231876.8458005795,0,-2231876.8458005795
30000057,Static Zoning,101,57,historical,4162895.2165469737,0,-4162895.2165469737
30000058,Static Zoning,101,58,historical,6842044.172430739,0,-6842044.172430739
30000059,Static Zoning,101,59,historical,8189764.525486881,0,-8189764.525486881
30000060,Static Zoning,101,60,historical,10043122.695726592,0,-10043122.695726592
30000061,Static Zoning,101,61,historical,8710324.004281064,0,-8710324.004281064
30000062,Static Zoning,101,62,historical,7840495.172525996,0,-7840495.172525996
30000063,Static Zoning,101,63,historical,9712921.759651942,0,-9712921.759651942
30000064,Static Zoning,101,64,historical,5616066.1302109705,0,-5616066.1302109705
30000065,Static Zoning,101,65,historical,7878195.091871889,0,-7878195.091871889
30000066,Static Zoning,101,66,historical,4217466.223906453,0,-4217466.223906453
30000067,Static Zoning,101,67,historical,9075474.164909495,0,-9075474.164909495
30000068,Static Zoning,101,68,historical,6400718.301904025,0,-6400718.301904025
30000069,Static Zoning,101,69,historical,7635559.346060264,0,-7635559.346060264
30000070,Static Zoning,101,70,historical,-1073846.9666668102,0,1073846.9666668102
30000071,Static Zoning,101,71,historical,6816086.811473804,0,-6816086.811473804
30000072,Static Zoning,101,72,historical,4489289.922042836,0,-4489289.922042836
30000073,Static Zoning,101,73,historical,9893351.137110196,0,-9893351.137110196
30000074,Static Zoning,101,74,historical,7930679.04016648,0,-7930679.04016648
