E_min,target_K,K,mean_G0,TVaR_alpha_adverse,J_alpha_lambda,psi_z_t0,uncertainty_t0,n_mc,frontier_type
1500.0,88,88,7179896.32203666,-429004.5345640997,7501649.722959735,0.0266537348890028,0.2976212125618029,60,greedy_admissible_direct
1500.0,92,92,7179283.4752844665,-428436.78861807846,7500611.066748025,0.0266536275757339,0.3036094607002946,60,greedy_admissible_direct
1500.0,96,96,7178688.189468154,-427795.94515162,7499535.148331868,0.0266535808088655,0.3107129482046208,60,greedy_admissible_direct
1500.0,100,100,7199401.758149609,-453730.9977919104,7539700.006493541,0.0257328204584239,0.3185341768519562,60,greedy_admissible_direct
1500.0,104,104,7209598.281987658,-464301.0883356964,7557824.09823943,0.0253623122624821,0.292347675754258,60,greedy_admissible_direct
1500.0,108,108,7270677.719175761,-523542.178013466,7663334.35268586,0.0251284541141113,0.2667445633520245,60,greedy_admissible_direct
2500.0,88,88,7179896.32203666,-429004.5345640997,7501649.722959735,0.0266537348890028,0.2976212125618029,60,greedy_admissible_direct
2500.0,92,92,7179283.4752844665,-428436.78861807846,7500611.066748025,0.0266536275757339,0.3036094607002946,60,greedy_admissible_direct
2500.0,96,96,7178688.189468154,-427795.94515162,7499535.148331868,0.0266535808088655,0.3107129482046208,60,greedy_admissible_direct
2500.0,100,100,7362795.307689143,-611182.250017658,7821181.995202387,0.0257328204584239,0.3185341768519562,60,greedy_admissible_direct
2500.0,104,104,7209598.281987658,-464301.0883356964,7557824.09823943,0.0253623122624821,0.292347675754258,60,greedy_admissible_direct
2500.0,108,108,7216049.378198997,-469779.4822547244,7568383.989890041,0.0251284541141113,0.2667445633520245,60,greedy_admissible_direct
5000.0,88,88,7179896.32203666,-429004.5345640997,7501649.722959735,0.0266537348890028,0.2976212125618029,60,greedy_admissible_direct
5000.0,92,92,7179283.4752844665,-428436.78861807846,7500611.066748025,0.0272547549721919,0.3036094607002946,60,greedy_admissible_direct
5000.0,96,96,7178688.189468154,-427795.94515162,7499535.148331868,0.0272477046968444,0.3107129482046208,60,greedy_admissible_direct
5000.0,100,100,7199401.758149609,-453730.9977919104,7539700.006493541,0.0274550509003563,0.3185341768519562,60,greedy_admissible_direct
5000.0,104,104,7209598.281987658,-464301.0883356964,7557824.09823943,0.0253623122624821,0.292347675754258,60,greedy_admissible_direct
5000.0,108,108,7434566.21986122,-683245.8676392498,7947000.620590657,0.0251284541141113,0.2667445633520245,60,greedy_admissible_direct
