trajectory_id,method,seed,candidate_stage,rep,stress,year,action_id,edit_type,K,underwriting_result,loss_total,mu_hat_total,reward,discount,psi_z,psi_p,c_zonal,gamma_p,z_delta,decision_cost
30000000,Static Zoning,101,0,0,historical,2021,KEEP|PRICE=0,KEEP,96,686351.8022113964,18550697.140072536,17812082.353966605,651930.3976974153,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30000000,Static Zoning,101,0,0,historical,2022,KEEP|PRICE=0,KEEP,96,1479123.6749429218,17808748.51094929,17859140.91286316,1443539.568821583,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30000000,Static Zoning,101,0,0,historical,2023,KEEP|PRICE=0,KEEP,96,2088779.1540796421,17407849.876880437,18052434.287926,2050978.5507013567,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30000000,Static Zoning,101,0,0,historical,2024,KEEP|PRICE=0,KEEP,96,2493493.2446197495,17030787.23628413,18078037.482318405,2456755.653633416,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30000000,Static Zoning,101,0,0,historical,2025,KEEP|PRICE=0,KEEP,96,1828391.268757835,17628013.352945574,18015189.464540195,1790738.241306542,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30000001,Static Zoning,101,0,1,historical,2021,KEEP|PRICE=0,KEEP,96,372369.6189749129,18864679.32330902,17812082.353966605,337948.21446093183,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30000001,Static Zoning,101,0,1,historical,2022,KEEP|PRICE=0,KEEP,96,1831025.783707898,17456846.402184315,17859140.91286316,1795441.6775865592,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30000001,Static Zoning,101,0,1,historical,2023,KEEP|PRICE=0,KEEP,96,2492408.8820175976,17004220.14894248,18052434.287926,2454608.2786393124,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30000001,Static Zoning,101,0,1,historical,2024,KEEP|PRICE=0,KEEP,96,3175822.324991338,16348458.15591254,18078037.482318405,3139084.7340050046,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30000001,Static Zoning,101,0,1,historical,2025,KEEP|PRICE=0,KEEP,96,-99895.43958888948,19556300.0612923,18015189.464540195,-137548.46704018256,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30000002,Static Zoning,101,0,2,historical,2021,KEEP|PRICE=0,KEEP,96,2157244.206572,17079804.735711932,17812082.353966605,2122822.8020580187,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30000002,Static Zoning,101,0,2,historical,2022,KEEP|PRICE=0,KEEP,96,1977657.1918994077,17310214.993992805,17859140.91286316,1942073.0857780688,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30000002,Static Zoning,101,0,2,historical,2023,KEEP|PRICE=0,KEEP,96,2829222.801745821,16667406.229214258,18052434.287926,2791422.1983675356,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
