alpha,lambda,tail_multiplier,delta_mean_tail_minus_qr,delta_tvar_tail_minus_qr,delta_J_tail_minus_qr,sd_delta_J,tail_qr_win_rate,n_seeds,preferred_by_J
0.9,0.25,1.0,-1019.4747950094752,6411.14827438284,-2622.2618636053057,3873.6047193078293,0.3,10,QR Mean
0.9,0.25,1.45,-1016.8104064207524,6768.933362512335,-2709.043747048732,3792.096306991567,0.3,10,QR Mean
0.9,0.25,1.8,-1014.8274861361831,7044.639307815029,-2775.9873130898923,3904.2801946387126,0.3,10,QR Mean
0.9,0.5,1.0,-1043.6866281543857,6608.639611491266,-4348.006433900073,5813.583867552372,0.3,10,QR Mean
0.9,0.5,1.45,-1047.5531957157887,6827.756050724022,-4461.431221077871,5614.0909915817065,0.2,10,QR Mean
0.9,0.5,1.8,-1050.1116341747343,7117.819140635018,-4609.02120449245,5825.782329987281,0.2,10,QR Mean
0.9,0.75,1.0,-43042.82046740856,53561.25895375648,-83213.76468272619,60452.095317788015,0.0,10,QR Mean
0.9,0.75,1.45,-42762.050389583965,53267.859345117795,-82712.94489842207,60287.13380876493,0.0,10,QR Mean
0.9,0.75,1.8,-42570.2083153015,53182.09172544735,-82456.77710938687,59655.73991889241,0.0,10,QR Mean
0.9,1.0,1.0,-51621.19235329497,62537.70202738576,-114158.89438068066,52725.270556824216,0.0,10,QR Mean
0.9,1.0,1.45,-51316.2585945609,61975.20717002967,-113291.46576459092,53282.52415250505,0.0,10,QR Mean
0.9,1.0,1.8,-51108.48015233902,61910.47561317694,-113018.95576551622,52896.81317498556,0.0,10,QR Mean
0.9,1.5,1.0,-34588.483026506474,47805.699749099476,-106297.03265015557,31657.995195143045,0.0,10,QR Mean
0.9,1.5,1.45,-34291.28745146701,47614.38737254143,-105712.86851027925,32332.145077603698,0.0,10,QR Mean
0.9,1.5,1.8,-34089.56226224573,47968.14172960755,-106041.77485665717,32209.84224157671,0.0,10,QR Mean
0.95,0.25,1.0,-1019.4747950094752,7363.364242859849,-2860.3158557245506,4267.919967592323,0.3,10,QR Mean
0.95,0.25,1.45,-1016.8104064207524,8546.633058281917,-3153.468670991156,4384.503558481972,0.3,10,QR Mean
0.95,0.25,1.8,-1014.8274861361831,8770.779977460683,-3207.5224805013277,4608.116370345655,0.3,10,QR Mean
0.95,0.5,1.0,-1833.374474194646,11296.64449575754,-7481.696722073201,9372.058836519502,0.2,10,QR Mean
0.95,0.5,1.45,-1906.661253226269,12994.404747792776,-8403.863627122715,10161.322537300735,0.2,10,QR Mean
0.95,0.5,1.8,-1957.509368176572,10780.032063802972,-7347.525400078017,8373.10229052504,0.2,10,QR Mean
0.95,0.75,1.0,-58354.45518042883,69111.92020599933,-110188.39533492792,49445.97236817382,0.0,10,QR Mean
0.95,0.75,1.45,-58029.52523058494,70731.20618163439,-111077.92986681107,50145.25820482847,0.0,10,QR Mean
0.95,0.75,1.8,-57807.26707396908,68126.7902717356,-108902.35977777075,53669.70321775451,0.0,10,QR Mean
0.95,1.0,1.0,-34659.393218134064,50973.35068298152,-85632.74390111546,29570.26708497021,0.0,10,QR Mean
0.95,1.0,1.45,-34366.98441394353,54216.92742510382,-88583.91183904772,32121.890514226157,0.0,10,QR Mean
0.95,1.0,1.8,-34168.54959821775,52231.466230522245,-86400.01582874032,37108.91084500536,0.0,10,QR Mean
0.95,1.5,1.0,-34588.483026506474,50866.8525521015,-110888.76185465911,38225.23555667314,0.0,10,QR Mean
0.95,1.5,1.45,-34291.28745146701,54107.295292123476,-115452.23038965235,42517.84011418305,0.0,10,QR Mean
0.95,1.5,1.8,-34089.56226224573,52121.88346504277,-112272.3874598098,49972.663647140565,0.0,10,QR Mean
0.975,0.25,1.0,-1043.0326367359608,13302.769954350679,-4368.725125323608,5779.092014716848,0.1,10,QR Mean
0.975,0.25,1.45,-1040.0757308152504,13591.284891731944,-4437.896953748166,5763.567598409035,0.1,10,QR Mean
0.975,0.25,1.8,-1037.8907302687876,14137.847416921315,-4572.352584499214,5772.8891981409115,0.2,10,QR Mean
0.975,0.5,1.0,-1043.0326367359608,13302.769954350679,-7694.41761391135,9885.883367555307,0.0,10,QR Mean
0.975,0.5,1.45,-1040.0757308152504,13591.284891731944,-7835.718176681269,9903.026862504114,0.0,10,QR Mean
0.975,0.5,1.8,-1037.8907302687876,14137.847416921315,-8106.814438729454,9934.540642162929,0.0,10,QR Mean
0.975,0.75,1.0,-58376.341257263164,70478.00837423844,-111234.84753794195,51643.70656586342,0.0,10,QR Mean
0.975,0.75,1.45,-58051.5693631568,68685.31762797778,-109565.55758414017,52470.30406222302,0.0,10,QR Mean
0.975,0.75,1.8,-57829.401637084506,65851.81472544049,-107218.26268116487,51272.84522599257,0.0,10,QR Mean
0.975,1.0,1.0,-33798.73533798009,53697.618462063336,-87496.35380004365,38005.48916883801,0.0,10,QR Mean
0.975,1.0,1.45,-33432.11955147023,53419.2963564679,-86851.41590793808,40275.2371230239,0.0,10,QR Mean
0.975,1.0,1.8,-33182.104685757775,52075.82761527041,-85257.93230102836,40082.45044914173,0.0,10,QR Mean
0.975,1.5,1.0,-33284.45869318778,49062.45791942005,-106878.14557231776,61380.05132859087,0.0,10,QR Mean
0.975,1.5,1.45,-32937.34439743143,49207.1255956173,-106748.03279085722,64081.19411711559,0.0,10,QR Mean
0.975,1.5,1.8,-32700.957246854807,48157.598907798194,-104937.35560855204,63160.47462444427,0.0,10,QR Mean
